version,label,type,statement_short,lean_file,reference_vector_exercised,status
v18,def:epistemic-floor,definition,Only kernel-verified theorems achieve $\lambda_6 = 1.0$. LLM-generated claims are capped at $\tau_{\mathrm{LLM}} = 0.75$. Unverified conjectures are capped at $\tau_{\mathrm{conj}} = 0.50$. \textup{Do,,?,
v18,thm:exit0,theorem,"Given \(\Pi_{\mathrm{green}}\) holds, the process \texttt{python3 OUROBOROS\_RUN\_ALL.py} exits with code~0. Conversely, if any module \(m_i\) raises an uncaught exception or asserts \texttt{False}, t",,?,
v18,thm:lambda-bounded,theorem,"For all axis vectors \((\lambda_1, \ldots, \lambda_9) \in [0,1]^9\), \[ 0 \;\leq\; \Lambda \;\leq\; 1. \] Equality \(\Lambda = 1\) holds if and only if \(\lambda_j = 1\) for all \(j\). Equality \(\Lam",Lutar/Bound.lean,Y,
v18,thm:dual-witness-soundness,theorem,"Under the collision-resistance assumption (axiom A15), an adversary cannot forge a \texttt{APPROVE} verdict for an action \(a\) with \(\Lambda(a) < \lambda_{\mathrm{crit}}\) without breaking SHA-256.",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean (A1),Y,
v18,thm:doi-integrity,theorem,"A module \(m_i\) may claim a DOI \(d\) in its header only if: \begin{enumerate} \item \(d\) is listed in \texttt{\_MODULE\_DOIS}, \emph{and} \item an HTTP GET to \texttt{https://doi.org/}\(d\) returns",,?,
v18,thm:universal-composability,theorem,"Let $\mathcal{S}$ be any software system that (a)~exposes a Python or TypeScript callable boundary, and (b)~produces output events that can be represented as (input-hash, output-hash) pairs. Then the ",,?,
v18,def:green-gate,definition,A module \(m_i \in \mathcal{M}\) satisfies the GREEN gate if and only if \texttt{main()} returns without raising any exception and the process \texttt{sys.exit} code contributed by \(m_i\) is zero.,,?,
v18,def:receipt-impl,definition,"A \emph{receipt} is a tuple \(r = (\mathrm{id}, t, s_{\mathrm{in}}, s_{\mathrm{out}}, \Lambda, w_1, w_2, h_{\mathrm{prev}})\) where: \begin{itemize} \item \(\mathrm{id}\) is a UUID4 receipt identifier",,?,
v18,def:soft-gate,definition,A module action with \(\Lambda < \lambda_{\min}\) is flagged in the receipt as \texttt{WARN}; the action is \emph{allowed} but the flag is propagated to the Doctrine~v6 scanner.,,?,
v18,def:hard-gate,definition,A module action with \(\Lambda < \lambda_{\mathrm{crit}}\) is \emph{blocked}: the runner sets \texttt{G(m\_i) = 1} and the process exits~1.,,?,
v18,def:verifiable-governability,definition,A system \(S\) is \emph{verifiably governable} if and only if: \begin{enumerate} \item Every action $a$ produced by $S$ is associated with a receipt $r \in \mathcal{R}$ carrying a $\Lambda$-score $\La,,?,
v18,thm:axpo-gain,theorem,"Under AXPO with subgroup resampling, the average Pass@1 improves by $+1.8\,\mathrm{pp}$ over SFT+GRPO at the 8B parameter scale on nine multimodal benchmarks. Furthermore, SFT+AXPO at 8B surpasses the",,?,
v18,def:thinking-acting-gap,definition,Let \(\pi\) be an agentic policy with two action types: \(\mathcal{A}_T\) (thinking: self-contained reasoning steps) and \(\mathcal{A}_U\) (tool use: high-variance external actions). The \emph{Thinkin,,?,
v18,thm:rmf-completeness,theorem,"For any AI system $S$ instrumented with the SZL $\Lambda$-axis substrate, all four NIST AI RMF functions are operationally satisfied: GOVERN via Doctrine~v6 and the axiom ceiling; MAP via per-action 9",,?,
v18,def:governance-drift,definition,A session exhibits \emph{governance drift} if the linear regression coefficient of $\Lambda_k$ over $k$ is negative: \[ \hat{\beta} = \frac{\sum_{k=1}^{n}(k - \bar{k})(\Lambda_k - \bar{\Lambda})} {\su,,?,
v18,thm:quantum-decoherence,theorem,"Let $e : \mathrm{QuantumExecution}$ be a quantum-classical hybrid execution carrying a 9-axis classical score vector and a quantum register with purity $p = \mathrm{Tr}(\rho^2) \in (0, 1]$. Define the",,?,
v18,thm:quantum-chain-bound,theorem,"Let $e_1, e_2, \dots, e_n$ be quantum-classical executions sharing a common quantum register, where execution $e_j$ applies a CPTP map $\mathcal{N}_j$ to the register state. The composed execution $e_",,?,
v18,thm:lambda-composition,theorem,"Let $f$ and $g$ be composable substrate grafts with $\hat{\Lambda}(f), \hat{\Lambda}(g) : \mathrm{Fin}\,9 \to \mathbb{R}_{\geq 0}$. For every axis $i \in \{0,\dots,8\}$, \[ \hat{\Lambda}(g \circ f)_i ",Lutar/Composition/TH1_Composition.lean,N,
v18,thm:receipt-chain-cardinality,theorem,"Let $C = (r_0, r_1, \dots, r_{n-1})$ be a chain of $n$ receipts, each anchored by $h_j = \mathrm{SHA256}(r_j \,\|\, h_{j-1})$. In the random-oracle model, \[ \Pr[\text{no collision in } C] \;\geq\; 1 ",Lutar/Invariant.lean (A2 zero-pin),Y,
v18,thm:wos-pi-equiv,theorem,"Let $D \subset \mathbb{R}^d$ be a bounded domain, $\phi : D \to \mathbb{R}_{\geq 0}$ an audit functional, $\mu$ the absorbed Wiener measure. Define the v15 \emph{path-integral audit sum} $\mathcal{A}_",,?,
v18,thm:axpo-coe,theorem,"Let $\mathcal{M}$ be an AXPO-trained agent and $\mathcal{C} = (C_1, C_2, C_3, C_4)$ a ScientistOne Chain-of-Evidence with four audit layers. If all four audits pass, then $\mathcal{M}$'s output passes",,?,
v18,thm:sovereign-lambda,theorem,"Let $\mathcal{G} := \mathcal{G}_\mathrm{TurboVec} \circ \mathcal{G}_\mathrm{IQT} \circ \mathcal{G}_\mathrm{UDS\text{-}AirGap}$. \begin{enumerate} \item For axes $i \in \{3, 6, 7\}$ (Governance, Sovere",,?,
v18,thm:openmdw-provenance,theorem,"Let $\mathcal{L}$ be the OpenMDW model-license DAG and $\mathcal{D}$ the HuggingFace dataset-lineage DAG. The merged DAG $(\mathcal{L} \cup \mathcal{D}, \leq_P)$ has a linear extension in which every ",,?,
v18,thm:cursorbench-pacbayes,theorem,"Let $\mathcal{H}$ be the class of agentic IDE configurations (Cursor rules $R$, subagents $A$, MCP servers $S$), and $\ell : \mathcal{H} \times \mathcal{Z} \to [0,1]$ the $\mathrm{Pass}@k$ loss. With ",,?,
v18,thm:doctrine-compositionality,theorem,The Doctrine~v6 predicate $\mathcal{D}_6(M)$ is closed under module union: \[ \bigwedge_{j=1}^{n} \mathcal{D}_6(M_j) \;\implies\; \mathcal{D}_6\!\Bigl(\bigcup_{j=1}^{n} M_j\Bigr). \],Lutar/Composition/TH1_Composition.lean,N,
v18,thm:materialx-lambda,theorem,"Let $G = (N, E, \ell)$ be a MaterialX node graph with \texttt{lambda\_receipt} attributes. Suppose the \emph{receipt-flow invariant} holds: $\hat{\Lambda}(\ell(v))_i \leq \hat{\Lambda}(\ell(u))_i$ for",,?,
v18,thm:nist-rmf-functor,theorem,"Define categories $\mathbf{RMF}$ (objects: GOVERN, MAP, MEASURE, MANAGE; morphisms: tier-inclusion maps) and $\mathbf{\Lambda}$ (objects: $\mathrm{Fin}\,9$; morphisms: monotone maps on $[0,1]^9$). The",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v18,thm:wos-convergence,theorem,Let $\hat{\mathcal{A}}^{(m)}_\mathrm{WoS}(x)$ denote the Monte Carlo estimator of $\mathcal{A}_\mathrm{WoS}(x)$ using $m$ independent WoS paths. Under the assumption that $\phi$ is $L$-Lipschitz on $D,,?,
v18,thm:cross-domain-sovereign,theorem,"Let $\mathcal{G}_A$ and $\mathcal{G}_B$ be two sovereign-AI graft pipelines operating in disjoint deployment domains $\mathcal{D}_A$ and $\mathcal{D}_B$ (e.g.\ air-gapped cloud vs.\ tactical edge), ea",,?,
v18,thm:nist-oper-completeness,theorem,"Let $F : \mathbf{RMF} \to \mathbf{\Lambda}$ be the functor from Theorem~\ref{thm:nist-rmf-functor}. For any SZL substrate module $M$ that passes Doctrine~v6 (i.e.\ $\mathcal{D}_6(M)$ holds), let $\Lam",,?,
v18,thm:openmdw-grant,theorem,"Let $\mathrm{Grant}(r)$ denote the OpenMDW-1.1 grant scope (copyright, patent, database, trade-secret, royalty-free flags) associated with provenance record $r$. Let $r_1 \leq_P r_2$ in the total prov",,?,
v18,thm:thv18-01,theorem,"\begin{verbatim} theorem th_v18_06_terminates (s0 : AgentState) : exists n : Nat, n <= turnBudget s0 + 1 /\ Nat.iterate agentStep n s0 = .Done \end{verbatim}",Lutar/Thesis/TH_V18_01_AgentLoopTerminates.lean,N,
v18,thm:thv18-02,theorem,\begin{verbatim} theorem th_v18_02_doctrine_alphabet_size_4 : Fintype.card DoctrineLabel = 4 \end{verbatim},,?,
v18,thm:thv18-03,theorem,\begin{verbatim} theorem th_v18_03_kraft_equality : (Finset.univ : Finset DoctrineLabel).sum (fun l => (1 : Real) / 2 ^ codewordLen l) = 1 \end{verbatim},Lutar/Thesis/TH_V18_03_KraftInequality.lean,N,
v18,thm:thv18-04,theorem,\begin{verbatim} theorem th_v18_04_egyptian_weight_sum (k : Nat) (hk : 0 < k) : (Finset.range k).sum (fun _ => (1 : Rat) / k) = 1 \end{verbatim},Lutar/Egyptian.lean,Y,
v18,thm:thv18-05,theorem,\begin{verbatim} theorem th_v18_05_receipt_transduction_invariant (r : Receipt) (h : Codec.decode (Codec.encode r) = some r) : (Codec.decode (Codec.encode r)).map Receipt.contentId = some r.contentId ,Lutar/Transduction/ReceiptInvariant.lean,N,
v18,thm:thv18-06,theorem,\begin{verbatim} theorem th_v18_06_brahmi_distinction : Option.some (0 : Int) <> Option.none \end{verbatim},,?,
v18,thm:thv18-07,theorem,\begin{verbatim} theorem th_v18_07_chain_length_4 : feynmanCitationChain.length = 4 \end{verbatim},Lutar/Feynman/PathIntegralAuditSum.lean,N,
v18,thm:thv18-08,theorem,\begin{verbatim} theorem th_v18_08_pendant_value_is_sum (r : OrganReceipt) : pendantValue r = (r.decisions.map decisionValue).sum theorem th_v18_08b_root_value_is_sum (r : KhipuRootReceipt) : rootValu,Lutar/Khipu/SummationInvariant.lean (TH11),N,
v18,thm:thv18-09,theorem,\begin{verbatim} theorem th_v18_09a_product_comm (a b : Nat) : a * b = b * a theorem th_v18_09b_two_axis_gm_symmetric (a b : Nat) : geometricMeanTwoAxis a b = geometricMeanTwoAxis b a \end{verbatim},Lutar/Invariant.lean,Y,
v18,thm:thv18-10,theorem,\begin{verbatim} theorem th_v18_10_append_increases_sum (l : List Nat) (delta : Nat) (hdelta : 0 < delta) : l.sum < (l ++ [delta]).sum theorem th_v18_10b_sum_append (l1 l2 : List Nat) : (l1 ++ l2).sum,,?,
v18,thm:thv18-11,theorem,"\begin{verbatim} theorem th_v18_11a_const_stabilizes (c : Nat) : forall n, (fun _ => c) n = (fun _ => c) 0 \end{verbatim}",,?,
v18,thm:thv18-12,theorem,\begin{verbatim} theorem th_v18_12a_product_rearrange (a b c d : Nat) : (a * b) * (c * d) = (a * c) * (b * d) theorem th_v18_12b_two_axis_product (x0 x1 y0 y1 : Nat) : (x0 * y0) * (x1 * y1) = (x0 * x1,,?,
v18,thm:thv18-13,theorem,\begin{verbatim} theorem th_v18_13a_id_monotone : IsNatMonotone id theorem th_v18_13b_const_monotone (c : Nat) : IsNatMonotone (fun _ => c) \end{verbatim},Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v18,thm:thv18-14,theorem,"\begin{verbatim} axiom sha256_collision_resistant : forall (b1 b2 : ReceiptBlob), sha256 b1 = sha256 b2 -> b1 = b2 \end{verbatim}",Lutar/Invariant.lean (A2 zero-pin),Y,
v18,thm:thv18-15,theorem,\begin{verbatim} /-- A bounded agent terminates within its fuel budget. -/ theorem th_v18_15a_bounded_agent_terminates (a : Agent) (n : Nat) (h_bounded : IsBoundedAgent a n) : AgentTerminates a n \end,Lutar/Thesis/TH_V18_01_AgentLoopTerminates.lean,N,
v18,thm:thv18-16,theorem,"\begin{verbatim} theorem th_v18_16a_all_citations_nonempty : forall step in feynmanLineage, step.citation <> """" theorem th_v18_16b_chain_has_four_steps : feynmanLineage.length = 4 \end{verbatim}",Lutar/Feynman/PathIntegralAuditSum.lean,N,
v19,conj:lambda-uniqueness,conjecture,"Let $\Lambda : [0,1]^k \to [0,1]$ satisfy: \emph{(A1)} monotonicity, \emph{(A2)} positive homogeneity of degree 1, \emph{(A3)} Egyptian-exact diagonal normalization, and \emph{(A4)} bounded by max axi",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v20,def:lambda,definition,"For $k \geq 1$ and an axis vector $x \in [0,1]^k$, the Lutar invariant is: \[ \Lambda(x) \;=\; \left(\prod_{i=1}^{k} x_i\right)^{1/k} \] with Egyptian unit-fraction weights $w_i = 1/k$ for all $i$. In",Lutar/Egyptian.lean,Y,
v20,conj:lambda-uniqueness,conjecture,"Let $\Lambda : [0,1]^k \to [0,1]$ satisfy A1 (monotonicity), A2 (positive homogeneity of degree 1), A3 (Egyptian-exact diagonal normalization), and A4 (bounded by max axis). Then \[ \Lambda(x) \;=\; \",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v20,"R1, single-axis repack",conjecture,"For any single-axis rewrite $r$ that acts as the identity on coordinate $i$, $\Lambda(r(x)) = \Lambda(x)$ for all $x$.",,?,
v20,"R2, independent commute",conjecture,"Let $r_1, r_2$ act on disjoint axis subsets. If each is $\Lambda$-invariant, then so is $r_1 \circ r_2$.",,?,
v20,"R3, receipt-chain associativity",conjecture,$\Lambda$-invariance is closed under composition of rewrites.,Lutar/Composition/TH1_Composition.lean,N,
